,title,directors,year,genre,runtime,theater,screen_date,screen_times,wiki_id,revenue,revenue_processed,cpi
99,If Beale Street Could Talk,Barry Jenkins,2018,Romance,0 days 02:00:00,The Brattle,8/2/24,4:30 PM,https://en.wikipedia.org/wiki/If_Beale_Street_Could_Talk_(film),$20.6 million[3],20.6,251.0995
100,Army of Darkness,Sam Raimi,1992,Fantasy,0 days 01:21:00,Coolidge Corner Theatre,8/2/24,11:59 PM,https://en.wikipedia.org/wiki/Army_of_Darkness,$21.5 million[1],21.5,140.3083333
101,Klute,Alan J. Pakula,1971,Thriller,0 days 01:54:00,Somerville Theatre,8/3/24,11:59 PM,https://en.wikipedia.org/wiki/Klute,$12.5 million[2],12.5,40.48333333
102,Reign of Fire,Rob Bowman,2002,Adventure,0 days 01:41:00,Coolidge Corner Theatre,8/3/24,11:59 PM,https://en.wikipedia.org/wiki/Reign_of_Fire_(film),$82.2 million[2],82.2,179.8666667
103,I Am Not Your Negro,Raoul Peck,2017,Documentary,0 days 01:33:00,The Brattle,8/3/24,7:00 PM,https://en.wikipedia.org/wiki/I_Am_Not_Your_Negro,$9.6 million[1],9.6,245.121
104,If Beale Street Could Talk,Barry Jenkins,2018,Romance,0 days 02:00:00,The Brattle,8/3/24,2:30 PM,https://en.wikipedia.org/wiki/If_Beale_Street_Could_Talk_(film),$20.6 million[3],20.6,251.0995
105,I Am Not Your Negro,Raoul Peck,2017,Documentary,0 days 01:33:00,The Brattle,8/4/24,4:15 PM,https://en.wikipedia.org/wiki/I_Am_Not_Your_Negro,$9.6 million[1],9.6,245.121
106,Being John Malkovich,Spike Jonze,1999,Comedy,0 days 01:53:00,Coolidge Corner Theatre,8/5/24,7:00 PM,https://en.wikipedia.org/wiki/Being_John_Malkovich,$23.1 million[2],23.1,166.5833333
107,Tommy,Ken Russell,1975,Drama,0 days 01:51:00,The Brattle,8/5/24,6:30 PM,https://en.wikipedia.org/wiki/Tommy_(1975_film),$34.3 million[4],34.3,53.825
108,Election,Alexander Payne,1999,Comedy,0 days 01:43:00,Coolidge Corner Theatre,8/6/24,7:00 PM,https://en.wikipedia.org/wiki/Election_(1999_film),$17.2 million[1],17.2,166.5833333
109,Let the Good Times Roll,"Sidney Levin, Robert Abel",1973,Documentary,0 days 01:39:00,The Brattle,8/6/24,6:30 PM,https://en.wikipedia.org/wiki/Let_the_Good_Times_Roll_(film),"$1,050,000 (US/ Canada rentals)[1]",0.105,44.425
110,Wattstax,Mel Stuart,1973,Music,0 days 01:38:00,The Brattle,8/6/24,4:15 PM,https://en.wikipedia.org/wiki/Wattstax,"$1,560,000 (rentals)[1]",0.156,44.425
111,Toni Erdmann,Maren Ade,2016,Comedy,0 days 02:42:00,Goethe-Institut,8/7/24,8:00 PM,https://en.wikipedia.org/wiki/Toni_Erdmann,$11.7 million[4],11.7,240.0054167
112,Somewhere,Sofia Coppola,2010,Drama,0 days 01:38:00,The Brattle,8/7/24,7:00 PM,https://en.wikipedia.org/wiki/Somewhere_(film),$13.9 million[2],13.9,218.0761667
113,The Bling Ring,Sofia Coppola,2013,Drama,0 days 01:30:00,The Brattle,8/7/24,5:00 PM,https://en.wikipedia.org/wiki/The_Bling_Ring,$20.2 million[4],20.2,232.95175
114,Scooby-Doo,Raja Gosnell,2002,Mystery,0 days 01:27:00,The Speedway,8/7/24,8:00 PM,https://en.wikipedia.org/wiki/Scooby-Doo_(film),$275.7 million[2],275.7,179.8666667
115,In the Heat of the Night,Norman Jewison,1967,Crime,0 days 01:49:00,The Brattle,8/8/24,6:00 PM,https://en.wikipedia.org/wiki/In_the_Heat_of_the_Night_(film),$24.4 million[3],24.4,33.375
116,Dog Day Afternoon,Sidney Lumet,1975,Crime,0 days 02:05:00,The Brattle,8/8/24,3:30 PM,https://en.wikipedia.org/wiki/Dog_Day_Afternoon,$50–56 million[4][3],50,53.825
117,Wet Hot American Summer,David Wain,2001,Comedy,0 days 01:37:00,Capitol Theatre,8/8/24,7:30 PM,https://en.wikipedia.org/wiki/Wet_Hot_American_Summer,"$295,206[5]",0.295206,177.0416667
118,Dragonslayer,Matthew Robbins,1981,Fantasy,0 days 01:48:00,Coolidge Corner Theatre,8/9/24,11:59 PM,https://en.wikipedia.org/wiki/Dragonslayer_(1981_film),$14.1 million,14.1,90.93333333
119,The Church,Michele Soavi,1989,Horror,0 days 01:42:00,Coolidge Corner Theatre,8/10/24,11:59 PM,https://en.wikipedia.org/wiki/The_Church_(1989_film),1.926 billion Italian lire[2],1926,123.9416667
120,Vertigo,Alfred Hitchcock,1958,Mystery,0 days 02:09:00,The Brattle,8/10/24,3:30 PM,https://en.wikipedia.org/wiki/Vertigo_(film),$7.3 million[4],7.3,28.88083333
121,North by Northwest,Alfred Hitchcock,1959,Mystery,0 days 02:16:00,The Brattle,8/10/24,12:30 PM,https://en.wikipedia.org/wiki/North_by_Northwest,$9.8 million[2],9.8,29.15
122,North by Northwest,Alfred Hitchcock,1959,Mystery,0 days 02:16:00,The Brattle,8/11/24,2:45 PM,https://en.wikipedia.org/wiki/North_by_Northwest,$9.8 million[2],9.8,29.15
123,To Catch a Thief,Alfred Hitchcock,1955,Mystery,0 days 01:46:00,The Brattle,8/11/24,12:30 PM,https://en.wikipedia.org/wiki/To_Catch_a_Thief,$4.5 million (U.S. rentals)[2]$8.75 million,4.5,26.79583333
124,All About My Mother,Pedro Almod?�var,1999,Comedy,0 days 01:41:00,Coolidge Corner Theatre,8/11/24,2:00 PM,https://en.wikipedia.org/wiki/All_About_My_Mother,$67.8 million,67.8,166.5833333
125,All About My Mother,Pedro Almodóvar,1999,Comedy,0 days 01:41:00,Coolidge Corner Theatre,8/11/24,2:00 PM,https://en.wikipedia.org/wiki/All_About_My_Mother,$67.8 million,67.8,166.5833333
126,La Bamba,Luis Valdez,1987,Drama,0 days 01:48:00,The Brattle,8/12/24,3:45 PM,https://en.wikipedia.org/wiki/La_Bamba_(film),$54.2 million,54.2,113.6166667
127,The Big Lebowski,"Joel Coen, Ethan Coen",1998,Comedy,0 days 01:57:00,Coolidge Corner Theatre,8/12/24,7:00 PM,https://en.wikipedia.org/wiki/The_Big_Lebowski,$47.4 million[4],47.4,163.0083333
128,Dirty Dancing,Emile Ardolino,1987,Drama,0 days 01:40:00,Somerville Theatre,8/12/24,7:30 PM,https://en.wikipedia.org/wiki/Dirty_Dancing,$214 million,214,113.6166667
129,The Buddy Holly Story,Steve Rash,1978,Drama,0 days 01:54:00,The Brattle,8/12/24,6:00 PM,https://en.wikipedia.org/wiki/The_Buddy_Holly_Story,$14.3 million[3],14.3,65.24166667
130,The Insider,Michael Mann,1999,Drama,0 days 02:38:00,Coolidge Corner Theatre,8/13/24,7:00 PM,https://en.wikipedia.org/wiki/The_Insider_(film),$60.3 million[2],60.3,166.5833333
131,American Pop,Ralph Bakshi,1981,Animation,0 days 01:36:00,The Brattle,8/13/24,7:00 PM,https://en.wikipedia.org/wiki/American_Pop,$6 million[2],6,90.93333333
132,No Way Out,Roger Donaldson,1987,Thriller,0 days 01:54:00,Somerville Theatre,8/13/24,7:30 PM,https://en.wikipedia.org/wiki/No_Way_Out_(1987_film),$35.5 million,35.5,113.6166667
133,Heavy Metal,Gerald Potterton,1981,Animation,0 days 01:30:00,The Brattle,8/13/24,5:00 PM,https://en.wikipedia.org/wiki/Heavy_Metal_(film),$20.1 million[3][4],20.1,90.93333333
134,Good One,India Donaldson,2024,Drama,0 days 01:30:00,Coolidge Corner Theatre,8/13/24,7:15 PM,https://en.wikipedia.org/wiki/Good_One_(film),"$285,355[1][2]",0.285355,312.513125
135,Marie Antoinette,Sofia Coppola,2006,Drama,0 days 02:03:00,The Brattle,8/14/24,8:00 PM,https://en.wikipedia.org/wiki/Marie_Antoinette_(2006_film),$60.9 million[4],60.9,201.5583333
136,"sex, lies, and videotape",Steven Soderbergh,1989,Drama,0 days 01:41:00,Somerville Theatre,8/14/24,7:30 PM,"https://en.wikipedia.org/wiki/Sex,_Lies,_and_Videotape",$36.7 million[2],36.7,123.9416667
137,Go,Doug Liman,1999,Crime,0 days 01:38:00,Coolidge Corner Theatre,8/14/24,7:00 PM,https://en.wikipedia.org/wiki/Go_(1999_film),$28.5 million,28.5,166.5833333
138,I'm Your Man,Maria Schrader,2021,SciFi,0 days 01:48:00,Goethe-Institut,8/14/24,8:00 PM,https://en.wikipedia.org/wiki/I'm_Your_Man_(2021_film),"$501,700[3][4]",0.5017,270.9658333
139,Do the Right Thing,Spike Lee,1989,Drama,0 days 02:00:00,The Brattle,8/15/24,6:30 PM,https://en.wikipedia.org/wiki/Do_the_Right_Thing,$37.3 million[2][3],37.3,123.9416667
140,Bird,Clint Eastwood,1988,Drama,0 days 02:41:00,Coolidge Corner Theatre,8/15/24,7:00 PM,https://en.wikipedia.org/wiki/Bird_(1988_film),$2 million[3],2,118.275
141,Moonrise Kingdom,Wes Anderson,2012,Comedy,0 days 01:34:00,Capitol Theatre,8/15/24,7:30 PM,https://en.wikipedia.org/wiki/Moonrise_Kingdom,$68.8 million[3],68.8,229.5860833
142,Falling Down,Joel Schumacher,1993,Crime,0 days 01:53:00,The Brattle,8/15/24,4:00 PM,https://en.wikipedia.org/wiki/Falling_Down,$96 million[2],96,144.475
143,Caligula: The Ultimate Cut,Tinto Brass,2023,Drama,0 days 02:53:00,Somerville Theatre,8/16/24,9:30 PM,https://en.wikipedia.org/wiki/Caligula_(film),$10 million-$23.4 million[8][9],10,304.70075
144,Pretty Woman,Garry Marshall,1990,Comedy,0 days 01:59:00,Somerville Theatre,8/16/24,7:00 PM,https://en.wikipedia.org/wiki/Pretty_Woman,$463.4 million,463.4,130.6583333
145,Sliver,Phillip Noyce,1993,Drama,0 days 01:48:00,Somerville Theatre,8/17/24,9:20 PM,https://en.wikipedia.org/wiki/Sliver_(film),$116.3 million[2],116.3,144.475
146,Basic Instinct,Paul Verhoeven,1992,Thriller,0 days 02:08:00,Somerville Theatre,8/17/24,7:00 PM,https://en.wikipedia.org/wiki/Basic_Instinct,$352.9 million[2],352.9,140.3083333
147,Thelma & Louise,Ridley Scott,1991,Drama,0 days 02:10:00,Somerville Theatre,8/18/24,7:00 PM,https://en.wikipedia.org/wiki/Thelma_&_Louise,$45.4 million[2],45.4,136.1666667
148,Beau Travail,Claire Denis,2000,Drama,0 days 01:32:00,Coolidge Corner Theatre,8/18/24,2:00 PM,https://en.wikipedia.org/wiki/Beau_Travail,"$570,000[1]",0.57,172.1916667
149,Poison Ivy,Katt Shea,1992,Thriller,0 days 01:32:00,Somerville Theatre,8/19/24,7:00 PM,https://en.wikipedia.org/wiki/Poison_Ivy_(1992_film),$1.8 million[1],1.8,140.3083333
150,Annie,John Huston,1982,Comedy,0 days 02:07:00,The Brattle,8/19/24,6:00 PM,https://en.wikipedia.org/wiki/Annie_(1982_film),$57.1 million[3],57.1,96.53333333
151,The Crush,Alan Shapiro,1993,Drama,0 days 01:29:00,Somerville Theatre,8/19/24,8:45 PM,https://en.wikipedia.org/wiki/The_Crush_(1993_film),$13.6 million (United States)[2],13.6,144.475
152,School Daze,Spike Lee,1988,Comedy,0 days 02:01:00,The Brattle,8/20/24,7:00 PM,https://en.wikipedia.org/wiki/School_Daze,"$14,545,844[1]",0.145458,118.275
153,The Last Seduction,John Dahl,1994,Thriller,0 days 01:50:00,Somerville Theatre,8/20/24,7:00 PM,https://en.wikipedia.org/wiki/The_Last_Seduction,"$5,842,603[2]",0.58426,148.225
154,Jade,William Friedkin,1995,Mystery,0 days 01:35:00,Somerville Theatre,8/20/24,9:00 PM,https://en.wikipedia.org/wiki/Jade_(film),$9.9 million (United States)[3],9.9,152.3833333
155,Annie,John Huston,1982,Comedy,0 days 02:07:00,The Brattle,8/20/24,4:00 PM,https://en.wikipedia.org/wiki/Annie_(1982_film),$57.1 million[3],57.1,96.53333333
156,Run Lola Run,Tom Tykwer,1998,Action,0 days 01:21:00,Goethe-Institut,8/21/24,8:00 PM,https://en.wikipedia.org/wiki/Run_Lola_Run,$23.7 million[2],23.7,163.0083333
157,Apollo 13,Ron Howard,1995,Drama,0 days 02:20:00,The Greenway,8/21/24,8:00 PM,https://en.wikipedia.org/wiki/Apollo_13_(film),$355.2 million[2],355.2,152.3833333
158,Showgirls,Paul Verhoeven,1995,Drama,0 days 02:11:00,Somerville Theatre,8/21/24,7:00 PM,https://en.wikipedia.org/wiki/Showgirls,$37.8 million[7],37.8,152.3833333
159,Lost in Translation,Sofia Coppola,2003,Drama,0 days 01:42:00,The Brattle,8/21/24,4:30 PM,https://en.wikipedia.org/wiki/Lost_in_Translation_(film),$118.7 million,118.7,184
160,Mamma Mia!,Phyllida Lloyd,2008,Comedy,0 days 01:48:00,Capitol Theatre,8/22/24,7:30 PM,https://en.wikipedia.org/wiki/Mamma_Mia!_(film),$694.6 million[2],694.6,215.25425
161,Sorcerer,William Friedkin,1977,Thriller,0 days 02:01:00,Coolidge Corner Theatre,8/22/24,7:00 PM,https://en.wikipedia.org/wiki/Sorcerer_(film),$5.9 million (theatrical and rentals)[4]$9 million (worldwide)[5],5.9,60.61666667
162,Phantom Thread,Paul Thomas Anderson,2017,Drama,0 days 02:10:00,West Newton Cinema,8/22/24,6:00 PM,https://en.wikipedia.org/wiki/Phantom_Thread,$47.8 million[5],47.8,245.121
163,The Texas Chain Saw Massacre,Tobe Hooper,1974,Horror,0 days 01:23:00,The Brattle,8/22/24,5:00 PM,https://en.wikipedia.org/wiki/The_Texas_Chain_Saw_Massacre,$30.9 million[4],30.9,49.31666667
164,The Texas Chain Saw Massacre,Tobe Hooper,1974,Horror,0 days 01:23:00,Somerville Theatre,8/23/24,8:00 PM,https://en.wikipedia.org/wiki/The_Texas_Chain_Saw_Massacre,$30.9 million[4],30.9,49.31666667
165,Bad Lieutenant,Abel Ferrara,1992,Crime,0 days 01:36:00,Coolidge Corner Theatre,8/23/24,11:59 PM,https://en.wikipedia.org/wiki/Bad_Lieutenant,$2 million[2],2,140.3083333
166,Highlander,Russell Mulcahy,1986,Adventure,0 days 01:56:00,Coolidge Corner Theatre,8/23/24,11:59 PM,https://en.wikipedia.org/wiki/Highlander_(film),$12.8 million[7],12.8,109.6916667
167,Dangerous Game,Abel Ferrara,1993,Drama,0 days 01:48:00,Coolidge Corner Theatre,8/24/24,11:59 PM,https://en.wikipedia.org/wiki/Dangerous_Game_(1993_film),$1.2 million[2],1.2,144.475
168,Legend,Ridley Scott,1985,Adventure,0 days 01:34:00,Coolidge Corner Theatre,8/24/24,11:59 PM,https://en.wikipedia.org/wiki/Legend_(1985_film),$23.5 million,23.5,107.6
169,Thieves Like Us,Robert Altman,1974,Crime,0 days 02:03:00,The Brattle,8/25/24,3:00 PM,https://en.wikipedia.org/wiki/Thieves_Like_Us_(film),"$300,000 (US/Canada rentals)[1]",0.3,49.31666667
170,Last Embrace,Jonathan Demme,1979,Thriller,0 days 01:42:00,The Brattle,8/25/24,6:00 PM,https://en.wikipedia.org/wiki/Last_Embrace,"$1,537,125[1]",0.153712,72.58333333
171,Across the Universe,Julie Taymor,2007,Drama,0 days 02:13:00,The Brattle,8/26/24,6:00 PM,https://en.wikipedia.org/wiki/Across_the_Universe_(film),$29.6 million[3],29.6,207.3441667
172,Inside Man,Spike Lee,2006,Crime,0 days 02:09:00,Coolidge Corner Theatre,8/26/24,7:00 PM,https://en.wikipedia.org/wiki/Inside_Man,$184.4 million[2],184.4,201.5583333
173,Bound,"Lana Wachowski, Lilly Wachowski",1996,Drama,0 days 01:45:00,Somerville Theatre,8/26/24,7:30 PM,https://en.wikipedia.org/wiki/Bound_(1996_film),$7 million[4],7,156.8583333
174,Boxing Helena,Jennifer Lynch,1993,Drama,0 days 01:47:00,Somerville Theatre,8/27/24,9:00 PM,https://en.wikipedia.org/wiki/Boxing_Helena,$1.8 million[4],1.8,144.475
175,Walk Hard: The Dewey Cox Story,Jake Kasdan,2007,Comedy,0 days 01:36:00,The Brattle,8/27/24,8:30 PM,https://en.wikipedia.org/wiki/Walk_Hard:_The_Dewey_Cox_Story,$20.6 million[2],20.6,207.3441667
176,Bringing Out the Dead,Martin Scorsese,1999,Drama,0 days 02:01:00,Coolidge Corner Theatre,8/27/24,7:00 PM,https://en.wikipedia.org/wiki/Bringing_Out_the_Dead,$16.8 million[3],16.8,166.5833333
177,Pee-wee's Big Adventure,Tim Burton,1985,Comedy,0 days 01:31:00,The Brattle,8/27/24,6:00 PM,https://en.wikipedia.org/wiki/Pee-wee's_Big_Adventure,$40.9 million (domestic)[3],40.9,107.6
178,Crash,David Cronenberg,1996,Drama,0 days 01:40:00,Somerville Theatre,8/27/24,7:00 PM,https://en.wikipedia.org/wiki/Crash_(1996_film),$23.2 million[4],23.2,156.8583333
179,The Virgin Suicides,Sofia Coppola,2000,Drama,0 days 01:37:00,The Brattle,8/28/24,4:30 PM,https://en.wikipedia.org/wiki/The_Virgin_Suicides_(film),$10.4 million[1],10.4,172.1916667
180,Magnolia,Paul Thomas Anderson,1999,Drama,0 days 03:09:00,Coolidge Corner Theatre,8/28/24,7:00 PM,https://en.wikipedia.org/wiki/Magnolia_(film),$48.5 million,48.5,166.5833333
181,Lost Highway,David Lynch,1997,Drama,0 days 02:14:00,Somerville Theatre,8/28/24,7:00 PM,https://en.wikipedia.org/wiki/Lost_Highway_(film),$3.8 million,3.8,160.525
182,The Talented Mr. Ripley,Anthony Minghella,1999,Thriller,0 days 02:20:00,The Brattle,8/29/24,3:15 PM,https://en.wikipedia.org/wiki/The_Talented_Mr._Ripley_(film),$128.8 million[2],128.8,166.5833333
183,Purple Noon,René Clément,1960,Crime,0 days 01:55:00,The Brattle,8/29/24,6:00 PM,https://en.wikipedia.org/wiki/Purple_Noon,"$618,0902,437,874 admissions (France)[1]",0.61809,29.585
184,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,2003,Adventure,0 days 02:23:00,Coolidge Corner Theatre,8/29/24,7:00 PM,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,$654.3 million[2],654.3,184
185,Purple Noon,Ren?� Cl?�ment,1960,Crime,0 days 01:55:00,The Brattle,8/29/24,6:00 PM,https://en.wikipedia.org/wiki/Purple_Noon,"$618,0902,437,874 admissions (France)[1]",0.61809,29.585
186,The Shining,Stanley Kubrick,1980,Horror,0 days 02:24:00,The Brattle,8/30/24,8:00 PM,https://en.wikipedia.org/wiki/The_Shining_(film),$47.3 million[6],47.3,82.38333333
187,Wild Things,John McNaughton,1998,Mystery,0 days 01:55:00,Somerville Theatre,8/30/24,9:00 PM,https://en.wikipedia.org/wiki/Wild_Things_(film),$67.2 million[3],67.2,163.0083333
188,A Knight's Tale,Brian Helgeland,2001,Adventure,0 days 02:12:00,Coolidge Corner Theatre,8/30/24,11:59 PM,https://en.wikipedia.org/wiki/A_Knight's_Tale,$117.5 million,117.5,177.0416667
189,Cruel Intentions,Roger Kumble,1999,Drama,0 days 01:38:00,Somerville Theatre,8/30/24,7:00 PM,https://en.wikipedia.org/wiki/Cruel_Intentions,$75.9 million[1],75.9,166.5833333
190,Brewster McCloud,Robert Altman,1970,Comedy,0 days 01:45:00,The Brattle,8/31/24,2:00 PM,https://en.wikipedia.org/wiki/Brewster_McCloud,$1.3 million (rentals)[1],1.3,38.84166667
191,Nashville,Robert Altman,1975,Drama,0 days 02:40:00,The Brattle,8/31/24,4:15 PM,https://en.wikipedia.org/wiki/Nashville_(film),$10 million[2],10,53.825
192,Eyes Wide Shut,Stanley Kubrick,1999,Drama,0 days 02:39:00,Somerville Theatre,8/31/24,7:30 PM,https://en.wikipedia.org/wiki/Eyes_Wide_Shut,$162.1 million[3],162.1,166.5833333
193,The Dark Knight,Christopher Nolan,2008,Drama,0 days 02:32:00,Coolidge Corner Theatre,8/31/24,11:30 PM,https://en.wikipedia.org/wiki/The_Dark_Knight,$1.006 billion[c],1006,215.25425
194,The Terminator,James Cameron,1984,Action,0 days 01:48:00,Somerville Theatre,8/31/24,11:59 PM,https://en.wikipedia.org/wiki/The_Terminator,$78.3 million,78.3,103.9333333
195,Popeye,Robert Altman,1980,Action,0 days 01:54:00,The Brattle,9/3/24,4:30 PM,https://en.wikipedia.org/wiki/Popeye_(film),$60 million[2],60,82.38333333
196,Roxanne,Fred Schepisi,1987,Comedy,0 days 01:47:00,The Brattle,9/3/24,7:00 PM,https://en.wikipedia.org/wiki/Roxanne_(film),$40.1 million (domestic)[2],40.1,113.6166667
197,Brewster McCloud,Robert Altman,1970,Comedy,0 days 01:45:00,The Brattle,9/4/24,4:15 PM,https://en.wikipedia.org/wiki/Brewster_McCloud,$1.3 million (rentals)[1],1.3,38.84166667
198,The Portrait of a Lady,Jane Campion,1996,Drama,0 days 02:24:00,The Brattle,9/4/24,6:30 PM,https://en.wikipedia.org/wiki/The_Portrait_of_a_Lady_(film),$20 million[3],20,156.8583333
199,Hundreds of Beavers,Mike Cheslik,2024,Comedy,0 days 01:48:00,Somerville Theatre,9/4/24,7:30 PM,https://en.wikipedia.org/wiki/Hundreds_of_Beavers,"$859,545[1][2]",0.859545,312.513125
200,Napoleon Dynamite,Jared Hess,2004,Comedy,0 days 01:35:00,The Speedway,9/4/24,8:00 PM,https://en.wikipedia.org/wiki/Napoleon_Dynamite,$46.1 million[1],46.1,188.9083333
201,Hairspray,John Waters,1988,Comedy,0 days 01:32:00,Coolidge Corner Theatre,9/5/24,7:00 PM,https://en.wikipedia.org/wiki/Hairspray_(1988_film),$8.3 million[3],8.3,118.275
202,The Trip,Roger Corman,1967,Drama,0 days 01:25:00,Harvard Film Archive,9/6/24,7:00 PM,https://en.wikipedia.org/wiki/The_Trip_(1967_film),$10 million[2],10,33.375
203,Showgirls,Paul Verhoeven,1995,Drama,0 days 02:11:00,Coolidge Corner Theatre,9/6/24,11:59 PM,https://en.wikipedia.org/wiki/Showgirls,$37.8 million[7],37.8,152.3833333
204,The Master,Paul Thomas Anderson,2012,Drama,0 days 02:17:00,Coolidge Corner Theatre,9/6/24,7:30 PM,https://en.wikipedia.org/wiki/The_Master_(2012_film),$28.3 million[2],28.3,229.5860833
205,2001: A Space Odyssey,Stanley Kubrick,1968,SciFi,0 days 02:29:00,Coolidge Corner Theatre,9/7/24,7:30 PM,https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey,$146 million,146,34.79166667
206,Mac and Me,Stewart Raffill,1988,Family,0 days 01:35:00,Coolidge Corner Theatre,9/7/24,11:59 PM,https://en.wikipedia.org/wiki/Mac_and_Me,$6.4 million[3],6.4,118.275
207,Midnight Cowboy,John Schlesinger,1969,Drama,0 days 01:53:00,Somerville Theatre,9/7/24,11:59 PM,https://en.wikipedia.org/wiki/Midnight_Cowboy,$44.8 million[2],44.8,36.68333333
208,Airport,George Seaton,1970,Action,0 days 02:17:00,Coolidge Corner Theatre,9/8/24,2:00 PM,https://en.wikipedia.org/wiki/Airport_(1970_film),$128.4 million,128.4,38.84166667
209,Withnail & I,Bruce Robinson,1987,Comedy,0 days 01:48:00,The Brattle,9/9/24,9:30 PM,https://en.wikipedia.org/wiki/Withnail_and_I,$1.7 million[3],1.7,113.6166667
210,Empire of the Sun,Steven Spielberg,1987,Drama,0 days 02:33:00,Coolidge Corner Theatre,9/9/24,7:00 PM,https://en.wikipedia.org/wiki/Empire_of_the_Sun_(film),$66.7 million[2],66.7,113.6166667
211,The Master,Paul Thomas Anderson,2012,Drama,0 days 02:17:00,Coolidge Corner Theatre,9/10/24,7:30 PM,https://en.wikipedia.org/wiki/The_Master_(2012_film),$28.3 million[2],28.3,229.5860833
212,2001: A Space Odyssey,Stanley Kubrick,1968,SciFi,0 days 02:29:00,Coolidge Corner Theatre,9/11/24,7:30 PM,https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey,$146 million,146,34.79166667
213,A Clockwork Orange,Stanley Kubrick,1971,SciFi,0 days 02:17:00,The Brattle,9/11/24,8:15 PM,https://en.wikipedia.org/wiki/A_Clockwork_Orange_(film),$114 million[4],114,40.48333333
214,The Warriors,Walter Hill,1979,Action,0 days 01:34:00,The Brattle,9/11/24,3:30 PM,https://en.wikipedia.org/wiki/The_Warriors_(film),$22.5 million[2],22.5,72.58333333
215,The Old Oak,Ken Loach,2023,Drama,0 days 01:53:00,West Newton Cinema,9/12/24,6:00 PM,https://en.wikipedia.org/wiki/The_Old_Oak,$7.7 million[5],7.7,304.70075
216,A Clockwork Orange,Stanley Kubrick,1971,SciFi,0 days 02:17:00,The Brattle,9/12/24,8:15 PM,https://en.wikipedia.org/wiki/A_Clockwork_Orange_(film),$114 million[4],114,40.48333333
217,Eraserhead,David Lynch,1978,Horror,0 days 01:29:00,Coolidge Corner Theatre,9/12/24,9:55 PM,https://en.wikipedia.org/wiki/Eraserhead,$7.1 million[2],7.1,65.24166667
218,Vertigo,Alfred Hitchcock,1958,Mystery,0 days 02:09:00,Coolidge Corner Theatre,9/13/24,7:30 PM,https://en.wikipedia.org/wiki/Vertigo_(film),$7.3 million[4],7.3,28.88083333
219,Friday the 13th: The Final Chapter,Joseph Zito,1984,Horror,0 days 01:31:00,Rocky Woods,9/13/24,8:00 PM,https://en.wikipedia.org/wiki/Friday_the_13th:_The_Final_Chapter,$33 million[4],33,103.9333333
220,Touchez Pas au Grisbi,Jacques Becker,1954,Crime,0 days 01:35:00,Harvard Film Archive,9/13/24,9:00 PM,https://en.wikipedia.org/wiki/Touchez_pas_au_grisbi,"4,710,496 admissions (France)[1]$131,548[2](2003 US re-release)",0.471049,26.865
221,Jason X,James Isaac,2001,Horror,0 days 01:31:00,Rocky Woods,9/13/24,9:30 PM,https://en.wikipedia.org/wiki/Jason_X,$17.1 million[2],17.1,177.0416667
222,Le Doulos,Jean-Pierre Melville,1962,Drama,0 days 01:48:00,Harvard Film Archive,9/14/24,9:00 PM,https://en.wikipedia.org/wiki/Le_Doulos,"1,475,391 admissions",0.147539,30.25333333
223,The Outlaw Josey Wales,Clint Eastwood,1976,Western,0 days 02:15:00,Somerville Theatre,9/14/24,11:59 PM,https://en.wikipedia.org/wiki/The_Outlaw_Josey_Wales,$31.8 million[2],31.8,56.93333333
224,Once Upon a Time... in Hollywood,Quentin Tarantino,2019,Comedy,0 days 02:42:00,Coolidge Corner Theatre,9/14/24,7:30 PM,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Hollywood,$377.6 million[4],377.6,255.6525833
225,Key Largo,John Huston,1948,Crime,0 days 01:40:00,The Brattle,9/14/24,7:00 PM,https://en.wikipedia.org/wiki/Key_Largo_(film),$3.3 million (US/Canada rentals)[2]$4.4 million (worldwide)[1],3.3,24.045
226,Un Flic,Jean-Pierre Melville,1972,Crime,0 days 01:40:00,Harvard Film Archive,9/14/24,7:00 PM,https://en.wikipedia.org/wiki/Un_flic,"$8.8 million[1]
1,464,806 admissions (France)[2]",8.8,41.80833333
227,Dark Passage,Delmer Daves,1947,Romance,0 days 01:46:00,The Brattle,9/14/24,4:45 PM,https://en.wikipedia.org/wiki/Dark_Passage_(film),$3.4 million[1][2],3.4,22.33166667
228,Dogville,Lars von Trier,2003,Crime,0 days 02:58:00,The Brattle,9/15/24,7:30 PM,https://en.wikipedia.org/wiki/Dogville,$16.7 million[7],16.7,184
229,Le Cercle Rouge,Jean-Pierre Melville,1970,Crime,0 days 02:20:00,Harvard Film Archive,9/15/24,7:00 PM,https://en.wikipedia.org/wiki/Le_Cercle_Rouge,"4,525,820 admissions (France)[1][2]",0.452582,38.84166667
230,Hackers,Iain Softley,1995,Action,0 days 01:47:00,Somerville Theatre,9/15/24,6:00 PM,https://en.wikipedia.org/wiki/Hackers_(film),$7.5 million[2],7.5,152.3833333
